Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
290,Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.cze,03.sty,07.sty,0.439,01.maj,04.mar,0.342,01.cze,02.sie,0.589,0.543,01.sty,01.lut,0.863,0.4,01.sie,02.lut,01.sie,01.mar,0.4,0.8,01.sie,08.lip,
291,Isaiah Collier,20,UTA,PG,71,46,25.wrz,03.mar,07.sie,0.422,0.6,02.kwi,0.249,02.lip,05.kwi,0.497,0.459,01.maj,02.lut,0.682,0.5,02.wrz,03.mar,06.mar,0.9,0.2,02.wrz,02.sty,08.lip,
292,Dante Exum,29,DAL,PG,20,13,18.cze,03.lut,06.lip,0.478,01.lut,02.lip,0.434,02.sty,04.sty,0.506,0.563,01.lut,01.cze,0.742,0.2,01.maj,01.lip,02.sie,0.6,0.2,01.sty,01.lip,08.lip,
293,Kyshawn George,21,WAS,SG,68,38,26.maj,3.0,8.0,0.372,01.lip,05.lut,0.322,01.mar,02.sie,0.464,0.476,1.0,01.kwi,0.753,0.7,03.maj,04.lut,02.maj,1.0,0.7,01.kwi,3.0,08.lip,
294,Jaden Hardy,22,DAL,SG,57,3,15.wrz,03.lut,07.mar,0.435,01.mar,03.maj,0.386,01.sie,03.sie,0.479,0.527,01.sty,01.maj,0.698,0.2,01.kwi,01.cze,01.kwi,0.5,0.1,01.kwi,01.cze,08.lip,
295,Dereck Lively II,20,DAL,C,36,29,23.sty,03.lip,05.mar,0.702,0.0,0.0,,03.lip,05.mar,0.702,0.702,01.mar,2.0,0.63,02.wrz,04.cze,07.maj,02.kwi,0.6,01.cze,01.sty,02.sie,08.lip,
296,Tyrese Martin,25,BRK,SG,60,11,21.wrz,03.lut,07.sie,0.406,01.lip,04.lip,0.351,01.maj,03.sty,0.492,0.513,0.8,1.0,0.793,1.0,02.lip,03.lip,2.0,0.6,0.2,01.lut,01.mar,08.lip,
297,Matas Buzelis,20,CHI,SF,80,31,18.wrz,03.lut,06.wrz,0.454,01.lut,03.mar,0.361,2.0,03.cze,0.54,0.541,01.sty,01.kwi,0.815,0.7,02.sie,03.maj,1.0,0.4,0.9,0.9,01.cze,08.cze,ROY-7
298,Jaime Jaquez Jr.,23,MIA,SF,66,17,20.lip,03.lut,7.0,0.461,0.6,01.sie,0.311,02.lip,05.lut,0.513,0.501,01.cze,02.lut,0.754,01.mar,03.sty,04.kwi,02.maj,0.9,0.2,01.maj,01.lut,08.cze,
299,Ja'Kobe Walter,20,TOR,SG,52,18,21.lut,03.sty,07.cze,0.405,01.mar,03.cze,0.349,01.sie,4.0,0.454,0.487,01.mar,01.cze,0.795,01.sty,01.wrz,03.sty,01.cze,0.8,0.2,1.0,01.sie,08.cze,
300,Sam Hauser,27,BOS,PF,71,19,21.lip,3.0,06.lip,0.451,02.mar,05.cze,0.416,0.7,01.sty,0.64,0.627,0.2,0.2,1.0,0.6,02.maj,03.lut,0.9,0.6,0.2,0.3,01.lut,08.maj,
301,Larry Nance Jr.,32,ATL,PF,24,3,19.mar,03.mar,06.maj,0.516,01.kwi,03.lut,0.447,01.wrz,03.mar,0.582,0.626,0.4,0.5,0.692,1.0,03.mar,04.mar,01.cze,0.8,0.5,0.7,01.maj,08.maj,
302,Jared Rhoden,25,2TM,SG,14,2,16.lut,3.0,06.lut,0.483,0.9,02.sie,0.308,02.sty,03.kwi,0.625,0.552,01.cze,01.sie,0.88,1.0,2.0,3.0,01.sty,0.7,0.1,0.6,01.kwi,08.kwi,
303,Jared Rhoden,25,CHO,SG,4,0,3.0,0.5,2.0,0.25,0.0,0.5,0.0,0.5,01.maj,0.333,0.25,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,
304,Jared Rhoden,25,TOR,SG,10,2,21.maj,4.0,07.wrz,0.506,01.lut,03.lip,0.324,02.sie,04.lut,0.667,0.582,02.lut,02.maj,0.88,01.lut,02.cze,03.sie,01.kwi,0.9,0.2,0.8,01.wrz,11.kwi,
305,Jaylen Nowell,25,NOP,SG,8,0,21.0,03.mar,09.sty,0.356,1.0,03.kwi,0.296,02.mar,05.sie,0.391,0.411,0.9,01.kwi,0.636,0.8,01.sie,02.maj,02.mar,0.1,0.5,1.0,01.sty,08.kwi,
306,Cason Wallace,21,OKC,SG,68,43,27.cze,03.kwi,07.lut,0.474,01.sty,03.sty,0.356,02.mar,04.sty,0.562,0.55,0.4,0.5,0.811,1.0,02.mar,03.kwi,02.maj,01.sie,0.5,0.9,02.sty,08.kwi,
307,Bruce Brown,28,2TM,PG,41,12,22.maj,03.lut,07.maj,0.421,0.7,2.0,0.333,02.maj,05.cze,0.452,0.464,01.mar,01.cze,0.815,1.0,3.0,4.0,2.0,0.8,0.2,1.0,01.lip,08.mar,
308,Bruce Brown,28,TOR,PG,18,0,19.cze,03.lut,07.mar,0.435,0.6,2.0,0.306,02.cze,05.mar,0.484,0.477,01.kwi,01.cze,0.897,0.9,02.sie,03.sie,01.cze,0.9,0.2,01.sty,01.kwi,08.kwi,
309,Bruce Brown,28,NOP,PG,23,12,24.lip,03.lut,07.lip,0.41,0.7,2.0,0.356,02.maj,05.sie,0.429,0.455,01.lut,01.cze,0.75,1.0,03.lut,04.lut,02.kwi,0.7,0.3,0.9,2.0,08.lut,
310,Dalano Banton,25,POR,PG,67,7,16.lip,3.0,07.cze,0.391,01.sty,03.mar,0.324,01.wrz,04.mar,0.442,0.462,01.kwi,01.wrz,0.728,0.4,01.cze,2.0,02.kwi,0.6,0.5,01.mar,0.9,08.mar,
311,Brandon Clarke,28,MEM,PF,64,18,18.wrz,03.lip,05.wrz,0.621,0.0,0.3,0.059,03.lip,05.lip,0.647,0.622,1.0,01.kwi,0.701,2.0,03.sty,05.sty,1.0,0.8,0.6,0.6,02.mar,08.mar,
312,Keon Ellis,25,SAC,SG,80,28,24.kwi,02.sie,05.sie,0.489,01.lip,4.0,0.433,01.sty,01.sie,0.615,0.639,0.9,01.sty,0.849,0.8,01.wrz,02.lip,01.maj,01.maj,0.8,0.9,02.lut,08.mar,
313,Brandon Williams,25,DAL,PG,33,3,14.sie,3.0,05.lip,0.521,0.7,01.sie,0.4,02.lut,03.wrz,0.578,0.585,01.lip,2.0,0.833,0.4,01.kwi,01.sie,02.mar,0.7,0.2,01.lut,1.0,08.mar,
314,Mike Conley,37,MIN,PG,71,64,24.lip,02.cze,06.cze,0.4,01.sie,04.kwi,0.41,0.8,02.lut,0.38,0.535,01.sty,01.mar,0.9,0.5,02.sty,02.cze,04.maj,01.sty,0.2,01.sty,01.cze,08.lut,
315,Taurean Prince,30,MIL,SF,80,73,27.sty,02.wrz,06.kwi,0.457,01.sie,04.lut,0.439,01.sty,02.lut,0.492,0.6,0.5,0.6,0.813,0.4,03.lut,03.cze,01.wrz,1.0,0.2,1.0,02.sty,08.lut,
316,Jalen Smith,24,CHI,C,64,2,15.0,3.0,06.kwi,0.466,01.sty,03.maj,0.324,01.sie,02.wrz,0.634,0.554,01.sty,01.kwi,0.809,01.kwi,04.lut,05.cze,1.0,0.3,0.7,0.6,01.maj,08.lut,
317,Quinten Post,24,GSW,PF,42,14,16.mar,02.wrz,06.maj,0.449,01.lip,04.mar,0.408,01.lut,02.mar,0.526,0.582,0.5,0.6,0.778,0.8,02.lip,03.maj,01.mar,0.4,0.4,0.8,2.0,08.sty,
318,Peyton Watson,22,DEN,SF,68,18,24.kwi,3.0,06.mar,0.477,0.7,2.0,0.353,02.mar,04.mar,0.534,0.533,01.kwi,2.0,0.693,0.7,02.lip,03.kwi,01.kwi,0.7,01.kwi,0.8,01.sie,08.sty,
319,Davion Mitchell,26,2TM,PG,74,37,27.kwi,3.0,06.kwi,0.468,01.sty,02.wrz,0.398,01.wrz,03.cze,0.525,0.557,0.8,01.sty,0.69,0.5,01.sie,02.mar,04.wrz,1.0,0.2,01.lip,02.maj,07.wrz,
320,Davion Mitchell,26,TOR,PG,44,22,24.maj,02.kwi,05.maj,0.434,1.0,02.lip,0.359,01.maj,02.wrz,0.504,0.52,0.6,0.8,0.676,0.4,01.cze,01.wrz,04.cze,0.7,0.2,01.sie,02.cze,06.mar,
321,Davion Mitchell,26,MIA,PG,30,15,31.6,03.wrz,07.lip,0.504,01.kwi,03.sty,0.447,02.maj,04.cze,0.543,0.595,01.sty,01.cze,0.702,0.6,02.sty,02.lip,05.mar,01.kwi,0.3,01.lip,02.mar,10.mar,
322,Caleb Martin,29,2TM,SF,45,24,27.sty,02.wrz,06.sie,0.424,0.8,02.mar,0.359,2.0,04.maj,0.458,0.485,01.kwi,02.lut,0.622,01.lut,02.sie,03.wrz,02.sty,1.0,0.5,01.lut,01.wrz,07.wrz,
323,Caleb Martin,29,PHI,SF,31,24,30.kwi,03.mar,07.maj,0.435,01.sty,02.sie,0.379,02.lut,04.lip,0.469,0.506,01.maj,02.kwi,0.622,01.kwi,3.0,04.kwi,02.lut,01.sty,0.6,01.kwi,2.0,09.sty,
324,Caleb Martin,29,DAL,SF,14,0,19.cze,2.0,05.sty,0.389,0.3,01.sty,0.25,01.lip,4.0,0.429,0.417,01.sty,01.lip,0.625,0.7,02.lut,02.wrz,01.wrz,0.9,0.2,0.9,01.lip,05.kwi,
325,Tyson Etienne,25,BRK,PG,7,0,21.cze,02.kwi,07.kwi,0.327,01.wrz,06.mar,0.295,0.6,01.sty,0.5,0.452,01.sty,01.kwi,0.8,0.4,0.9,01.mar,01.lip,0.4,0.1,01.sty,02.kwi,07.wrz,
326,Day'Ron Sharpe,23,BRK,C,50,2,18.sty,03.mar,06.mar,0.521,0.2,0.9,0.244,03.sty,05.kwi,0.566,0.538,01.sty,01.maj,0.757,3.0,03.cze,06.cze,01.sie,0.8,0.8,01.mar,02.mar,07.wrz,
327,KJ Simpson,22,CHO,PG,36,15,23.kwi,02.wrz,08.kwi,0.346,0.9,03.cze,0.254,2.0,04.sie,0.415,0.4,01.sty,01.kwi,0.82,01.sty,01.wrz,3.0,03.sty,0.9,0.2,01.cze,01.cze,07.sie,
328,Terance Mann,28,2TM,SG,67,13,21.sty,03.sty,06.lut,0.496,0.9,02.kwi,0.368,02.lut,03.lip,0.58,0.569,0.7,1.0,0.691,1.0,2.0,3.0,01.sie,0.7,0.2,0.7,01.wrz,07.lip,
329,Terance Mann,28,LAC,SG,37,12,19.sie,02.kwi,05.mar,0.446,0.7,2.0,0.347,01.cze,03.lut,0.508,0.513,0.6,0.9,0.719,0.9,2.0,02.wrz,01.cze,0.8,0.3,0.7,01.sie,6.0,
330,Terance Mann,28,ATL,SG,30,1,22.lip,03.wrz,07.mar,0.541,01.sty,02.wrz,0.386,02.sie,04.mar,0.646,0.619,0.8,01.lut,0.667,01.lut,01.wrz,03.sty,02.sty,0.6,0.1,0.7,2.0,09.sie,
331,Karlo Matković,23,NOP,PF,42,7,18.sie,03.lut,05.cze,0.574,0.5,01.cze,0.318,02.lip,4.0,0.675,0.619,0.8,1.0,0.773,01.maj,03.maj,5.0,01.sty,0.5,1.0,1.0,02.maj,07.lip,
332,AJ Johnson,20,2TM,SG,29,11,22.0,02.sie,07.mar,0.385,0.8,03.sty,0.267,2.0,04.lut,0.472,0.441,01.sty,01.mar,0.865,0.3,01.sie,2.0,02.cze,0.4,0.1,01.lut,01.lip,07.cze,
333,AJ Johnson,20,MIL,SG,7,0,06.mar,01.sty,02.lip,0.421,0.4,0.7,0.6,0.7,2.0,0.357,0.5,0.1,0.3,0.5,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,02.wrz,
334,AJ Johnson,20,WAS,SG,22,11,27.0,03.kwi,08.sie,0.381,1.0,03.wrz,0.247,02.kwi,5.0,0.486,0.436,01.kwi,01.cze,0.886,0.4,2.0,02.kwi,03.sty,0.5,0.1,01.kwi,02.mar,09.sty,
335,Lonzo Ball,27,CHI,PG,35,14,22.lut,02.maj,06.wrz,0.366,01.wrz,05.cze,0.344,0.6,01.kwi,0.458,0.504,0.6,0.8,0.815,0.7,02.lip,03.kwi,03.mar,01.mar,0.5,01.lut,01.cze,07.cze,
336,Oscar Tshiebwe,25,UTA,C,14,1,18.lut,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,01.cze,02.lut,0.742,03.mar,05.kwi,08.lip,0.6,0.9,0.1,0.7,01.lip,07.cze,
337,Garrison Mathews,28,ATL,SG,47,2,17.lip,02.lut,05.maj,0.397,01.sie,04.cze,0.39,0.4,0.8,0.436,0.562,01.kwi,01.lip,0.821,0.3,01.cze,01.wrz,01.mar,0.6,0.3,0.7,01.lip,07.maj,
338,Matisse Thybulle,27,POR,SG,15,5,20.sie,02.sie,05.wrz,0.477,01.kwi,03.lut,0.438,01.kwi,02.lip,0.525,0.597,0.5,1.0,0.467,0.9,02.maj,03.maj,01.wrz,02.lut,0.6,0.9,0.9,07.maj,
339,A.J. Green,25,MIL,SG,73,7,22.lip,02.maj,05.sie,0.429,02.sty,5.0,0.427,0.4,0.8,0.443,0.612,0.3,0.4,0.815,0.2,02.sty,02.kwi,01.maj,0.5,0.1,0.5,02.lut,07.kwi,
340,Josh Green,24,CHO,SG,68,67,27.sie,02.cze,06.lut,0.428,01.kwi,03.cze,0.391,01.lut,02.maj,0.48,0.543,0.7,01.sty,0.681,0.8,01.lip,02.maj,01.cze,01.sty,0.2,1.0,02.kwi,07.kwi,
341,Richaun Holmes,31,WAS,PF,31,7,17.lut,02.wrz,04.maj,0.647,0.0,0.1,0.0,02.wrz,04.kwi,0.662,0.647,01.cze,01.wrz,0.833,2.0,03.lip,05.lip,01.kwi,0.3,0.7,0.7,01.cze,07.kwi,
342,Damion Baugh,24,CHO,SG,15,2,24.lip,02.sie,08.lip,0.323,0.8,03.lip,0.214,2.0,04.wrz,0.405,0.369,0.9,1.0,0.867,0.9,02.kwi,03.mar,03.lip,1.0,0.1,02.sty,01.maj,07.mar,
343,Alec Burks,33,MIA,SG,49,14,17.cze,02.mar,05.maj,0.424,01.sie,04.lut,0.425,0.6,01.mar,0.422,0.587,0.8,1.0,0.776,0.3,02.lut,02.maj,01.sty,0.6,0.1,0.6,0.8,07.mar,
344,Ricky Council IV,23,PHI,SF,73,12,17.sty,02.kwi,06.mar,0.382,0.8,02.wrz,0.258,01.lip,03.kwi,0.488,0.442,01.lip,02.sty,0.804,0.7,02.lut,02.wrz,01.mar,0.4,0.2,0.7,0.9,07.mar,
345,Andre Drummond,31,PHI,C,40,23,18.sie,02.wrz,05.wrz,0.5,0.1,0.5,0.15,02.wrz,05.kwi,0.533,0.506,01.kwi,02.mar,0.622,02.lip,5.0,07.sie,0.9,1.0,0.5,01.kwi,02.kwi,07.mar,
346,Tre Jones,25,2TM,PG,46,9,19.lip,02.sie,05.lut,0.538,0.4,1.0,0.396,02.kwi,04.sty,0.574,0.578,01.lut,01.maj,0.821,0.7,01.sie,02.maj,04.lut,0.8,0.2,0.8,01.lut,07.lut,
347,Tre Jones,25,SAS,PG,28,0,16.sty,01.cze,03.mar,0.484,0.3,0.9,0.308,01.mar,02.kwi,0.552,0.527,0.9,01.lut,0.758,0.5,01.maj,02.sty,03.lip,0.6,0.2,0.8,01.lut,04.kwi,
348,Tre Jones,25,CHI,PG,18,9,25.mar,04.cze,08.sty,0.572,0.6,01.lut,0.5,4.0,06.sie,0.585,0.61,01.lip,01.wrz,0.882,0.9,02.mar,03.lut,04.wrz,01.sty,0.3,0.8,01.lut,11.maj,
349,Goga Bitadze,25,ORL,C,70,42,20.kwi,3.0,04.sie,0.611,0.0,0.4,0.107,02.wrz,04.kwi,0.656,0.615,01.lut,01.wrz,0.639,02.kwi,04.lut,06.cze,2.0,0.7,01.kwi,1.0,02.sty,07.lut,
350,Tristan Da Silva,23,ORL,SF,74,38,22.0,02.lip,06.maj,0.412,01.sty,03.lut,0.335,01.cze,03.mar,0.488,0.495,0.7,0.9,0.873,1.0,02.mar,03.mar,01.maj,0.4,0.2,0.8,01.mar,07.lut,
351,GG Jackson II,20,MEM,PF,29,3,15.sie,02.cze,06.wrz,0.372,01.sty,03.mar,0.337,01.kwi,03.cze,0.404,0.452,1.0,01.kwi,0.725,0.9,02.lut,03.lut,1.0,0.4,0.2,01.sty,1.0,07.lut,
352,Vit Krejci,24,ATL,PG,57,16,20.lut,02.maj,05.sty,0.497,01.cze,03.cze,0.437,1.0,01.maj,0.64,0.651,0.6,0.8,0.711,0.4,02.kwi,02.lip,02.cze,0.6,0.5,0.9,01.sie,07.lut,
353,Sam Merrill,28,CLE,SG,71,4,19.lip,02.kwi,6.0,0.406,01.wrz,05.lut,0.372,0.5,0.8,0.625,0.567,0.4,0.4,0.966,0.5,01.lip,02.lut,01.maj,0.7,0.2,0.5,01.lip,07.lut,
354,Daeqwon Plowden,26,ATL,SG,6,0,12.0,02.lip,04.lut,0.64,01.maj,02.sie,0.529,01.lut,01.mar,0.875,0.82,0.3,0.3,1.0,0.7,01.lut,01.sie,0.3,0.0,0.0,0.7,01.lip,07.lut,
355,Nae'Qwan Tomlin,24,CLE,PF,5,1,12.cze,02.cze,06.kwi,0.406,0.4,2.0,0.2,02.lut,04.kwi,0.5,0.438,01.cze,02.lut,0.727,01.sie,02.kwi,04.lut,0.4,0.0,0.2,0.4,01.sie,07.lut,
356,Josh Okogie,26,2TM,SG,40,7,15.cze,02.kwi,05.mar,0.443,0.8,02.mar,0.348,01.cze,3.0,0.517,0.519,01.cze,02.sty,0.741,01.sty,01.lip,02.sie,0.8,01.lut,0.5,0.8,01.lut,07.sty,
357,Josh Okogie,26,PHO,SG,25,1,14.0,02.lut,04.cze,0.491,0.6,01.lip,0.381,01.cze,02.wrz,0.556,0.561,0.9,01.mar,0.688,01.mar,01.cze,02.wrz,0.6,0.8,0.4,0.6,01.sty,6.0,
358,Josh Okogie,26,CHO,SG,15,6,18.mar,02.maj,06.maj,0.388,01.sty,03.mar,0.32,01.maj,03.lut,0.458,0.469,02.lip,03.maj,0.774,0.9,01.wrz,02.lip,01.mar,01.sie,0.5,1.0,01.mar,08.wrz,
359,Jalen Hood-Schifino,21,2TM,SG,15,0,21.0,02.maj,06.maj,0.378,0.9,03.sty,0.304,01.maj,03.maj,0.442,0.449,01.lut,01.kwi,0.857,0.2,01.cze,01.sie,02.maj,0.3,0.5,01.lut,01.lip,07.sty,
360,Jalen Hood-Schifino,21,LAL,SG,2,0,7.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,01.maj,2.0,
361,Jalen Hood-Schifino,21,PHI,SG,13,0,23.lut,02.sie,07.maj,0.371,01.sty,03.maj,0.304,01.lip,03.wrz,0.431,0.443,01.lut,01.maj,0.842,0.2,01.sie,2.0,02.sie,0.4,0.5,01.mar,01.lip,07.sie,
362,Jamison Battle,23,TOR,SF,59,10,17.lip,02.maj,05.wrz,0.429,01.sie,04.kwi,0.405,0.7,01.maj,0.5,0.581,0.3,0.3,0.889,0.6,02.sty,02.lip,0.9,0.3,0.2,0.5,01.cze,07.sty,
363,Alex Caruso,30,OKC,SG,54,3,19.mar,02.cze,05.sie,0.446,01.sty,03.sty,0.353,01.maj,02.lip,0.556,0.541,0.8,0.9,0.824,0.7,02.lut,02.wrz,02.maj,01.cze,0.6,0.7,01.wrz,07.sty,6MOY-8
364,Jamal Shead,22,TOR,PG,75,11,19.cze,02.lip,06.lip,0.405,1.0,3.0,0.323,01.sie,03.lip,0.47,0.476,0.7,0.9,0.768,0.4,01.sty,01.maj,04.lut,0.8,0.1,01.cze,02.sty,07.sty,
365,Jeff Dowtin Jr.,27,PHI,PG,41,3,15.sty,02.lip,05.cze,0.487,0.7,01.lip,0.4,2.0,03.wrz,0.525,0.548,0.8,01.sty,0.733,0.3,01.lut,01.maj,01.wrz,0.6,0.3,0.4,0.7,7.0,
366,Marcus Garrett,26,CHO,SG,4,0,19.sie,02.sie,06.sie,0.407,0.8,2.0,0.375,2.0,04.sie,0.421,0.463,0.8,1.0,0.75,0.3,01.mar,01.maj,03.mar,0.8,0.5,01.maj,02.maj,7.0,
367,Isaiah Jackson,23,IND,C,5,1,16.sie,02.sie,04.cze,0.609,0.0,0.0,,02.sie,04.cze,0.609,0.609,01.kwi,02.sie,0.5,02.lut,03.kwi,05.cze,1.0,0.6,01.cze,1.0,02.sie,7.0,
368,Jaylen Sims,26,CHO,SG,6,0,18.lip,2.0,04.lip,0.429,1.0,02.maj,0.4,1.0,02.lut,0.462,0.536,2.0,02.maj,0.8,0.5,0.5,1.0,2.0,0.5,0.2,01.mar,01.lip,7.0,
369,Orlando Robinson,24,2TM,C,44,8,17.maj,02.cze,05.wrz,0.444,0.4,01.lut,0.327,02.mar,04.sie,0.474,0.477,01.lut,01.cze,0.771,2.0,3.0,5.0,01.sie,0.4,0.4,01.sty,02.mar,06.wrz,
370,Orlando Robinson,24,SAC,C,9,0,06.mar,0.8,01.wrz,0.412,0.1,0.6,0.2,0.7,01.mar,0.5,0.441,0.4,0.8,0.571,0.3,01.lut,01.cze,1.0,0.3,0.1,0.4,0.7,02.sty,
371,Orlando Robinson,24,TOR,C,35,8,20.kwi,03.sty,7.0,0.447,0.5,01.mar,0.34,02.lip,05.cze,0.472,0.48,01.kwi,01.sie,0.794,02.maj,03.kwi,05.wrz,01.wrz,0.4,0.4,01.mar,02.lip,08.sty,
372,Jake LaRavia,23,2TM,PF,66,0,20.kwi,02.kwi,05.sty,0.475,0.9,02.lut,0.423,01.maj,3.0,0.513,0.564,01.lut,01.lip,0.678,01.kwi,02.cze,03.wrz,02.kwi,0.9,0.3,01.mar,2.0,06.wrz,
373,Jake LaRavia,23,MEM,PF,47,0,20.wrz,02.maj,05.sty,0.49,0.9,01.wrz,0.444,01.lip,03.lut,0.517,0.573,01.kwi,2.0,0.698,01.kwi,02.wrz,04.kwi,02.sie,0.9,0.4,01.maj,2.0,07.mar,
374,Jake LaRavia,23,SAC,PF,19,0,19.mar,02.lut,05.sty,0.438,01.sty,02.lip,0.385,01.lut,02.mar,0.5,0.542,0.6,1.0,0.579,01.lut,01.cze,02.sie,01.mar,0.9,0.2,0.9,02.sty,06.sty,
375,Ryan Dunn,22,PHO,SF,74,44,19.sty,02.sie,06.kwi,0.43,01.sty,03.cze,0.311,01.lip,02.wrz,0.577,0.516,0.3,0.5,0.487,01.lut,02.kwi,03.cze,0.8,0.6,0.5,0.5,02.lut,06.wrz,
376,Jay Huff,26,MEM,C,64,2,11.lip,02.maj,04.sie,0.515,01.mar,03.sty,0.405,01.lut,01.cze,0.724,0.648,0.7,0.9,0.786,0.5,01.maj,2.0,0.6,0.3,0.9,0.5,01.lut,06.wrz,
377,Cameron Payne,30,NYK,PG,72,5,15.sty,02.maj,06.lut,0.401,01.mar,03.cze,0.363,01.lut,02.cze,0.453,0.506,0.7,0.8,0.907,0.2,01.mar,01.kwi,02.sie,0.5,0.2,0.7,01.maj,06.wrz,
378,Antonio Reeves,24,NOP,SG,44,6,15.0,02.cze,05.cze,0.456,01.lut,02.wrz,0.395,01.kwi,02.lip,0.521,0.558,0.6,0.8,0.8,0.4,1.0,01.kwi,0.9,0.5,0.1,0.7,0.9,06.wrz,
379,Cody Martin,29,2TM,SF,53,8,22.sty,02.cze,06.sty,0.418,0.8,02.sie,0.285,01.sie,03.mar,0.534,0.485,0.8,01.lut,0.705,1.0,03.lut,04.lut,2.0,01.sty,0.6,1.0,01.sie,06.sie,
380,Cody Martin,29,CHO,SF,39,8,24.sie,3.0,06.wrz,0.433,1.0,03.lut,0.323,01.wrz,03.lip,0.528,0.507,0.9,01.mar,0.694,1.0,03.maj,04.maj,02.mar,01.sty,0.7,01.sty,01.sie,07.sie,
381,Cody Martin,29,PHO,SF,14,0,14.lip,01.kwi,04.sty,0.351,0.2,01.wrz,0.111,01.lut,02.sty,0.567,0.377,0.6,0.9,0.75,0.9,02.maj,03.kwi,01.sty,0.9,0.4,0.6,01.cze,03.lip,
382,Bol Bol,25,PHO,PF,36,10,12.kwi,02.lip,05.sty,0.525,0.9,02.cze,0.344,01.sie,02.maj,0.711,0.612,0.6,0.7,0.769,0.6,02.mar,02.wrz,0.6,0.3,0.7,0.6,0.6,06.sie,
383,Eric Gordon,36,PHI,SG,39,13,19.lip,02.lut,05.lut,0.426,01.kwi,03.maj,0.409,0.8,01.lip,0.463,0.564,0.9,01.lut,0.75,0.2,1.0,01.lut,01.lip,0.7,0.3,0.7,0.8,06.sie,
384,Jaxson Hayes,24,LAL,C,56,35,19.maj,02.wrz,4.0,0.722,0.0,0.1,0.0,02.wrz,03.wrz,0.732,0.722,01.sty,01.sie,0.622,01.kwi,03.kwi,04.sie,1.0,0.6,0.9,0.8,02.kwi,06.sie,
385,Marcus Bagley,23,PHI,SF,10,4,25.mar,02.lip,06.wrz,0.391,0.5,03.lut,0.156,02.lut,03.lip,0.595,0.428,0.8,1.0,0.8,02.mar,04.lip,7.0,1.0,0.9,01.lut,0.7,01.cze,06.lip,
386,DaQuan Jeffries,27,CHO,SG,47,20,22.sie,02.maj,06.lut,0.405,01.lut,03.maj,0.335,01.mar,02.lip,0.496,0.5,0.5,0.6,0.8,0.8,02.sty,02.wrz,01.sty,0.6,0.5,0.7,02.sty,06.lip,
387,Lester Qui?ones,24,2TM,SG,13,0,14.sty,02.kwi,6.0,0.397,1.0,03.kwi,0.295,01.kwi,02.cze,0.529,0.481,0.8,1.0,0.846,0.3,01.lut,01.maj,01.sie,0.2,0.2,01.sty,01.kwi,06.cze,
388,Lester Qui?ones,24,PHI,SG,4,0,04.mar,1.0,2.0,0.5,0.0,0.8,0.0,1.0,01.mar,0.8,0.5,0.3,0.3,1.0,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,02.mar,
389,Lester Qui?ones,24,NOP,SG,9,0,18.kwi,3.0,07.sie,0.386,01.kwi,04.cze,0.317,01.cze,03.lut,0.483,0.479,01.sty,01.mar,0.833,0.1,01.cze,01.lip,02.cze,0.3,0.2,01.sty,2.0,08.cze,
390,Vasilije Micić,31,2TM,PG,41,16,19.sty,02.mar,06.lip,0.348,01.sty,3.0,0.36,01.lut,03.cze,0.338,0.43,0.8,1.0,0.829,0.5,01.lip,02.lut,03.sty,0.4,0.0,01.wrz,01.sty,06.cze,
391,Vasilije Micić,31,CHO,PG,36,16,21.lut,02.cze,07.cze,0.348,01.mar,03.maj,0.36,01.kwi,04.sty,0.338,0.43,0.9,01.sty,0.829,0.6,01.wrz,02.kwi,03.maj,0.4,0.0,02.sty,01.lut,07.maj,
392,Vasilije Micić,31,PHO,PG,5,0,04.lut,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.6,0.2,0.0,
